,anon_ID,county,poverty,minority,age_group,month_year,pantry_assistance_category,pantry_unit,pantry_amount,pantry_counter,volunteer_category,volunteer_diff_ride_days,rider_num_rides,volunteer_appt_duration,volunteer_counter,care_management_category,care_management_unit,care_management_CommType,care_management_Party,care_management_InitiatedBy,care_management_Benefit_1,care_management_Assistance_1,care_management_Benefit_2,care_management_Assistance_2,care_management_Benefit_3,care_management_Assistance_3,care_management_amount,care_management_counter
0,1,Montgomery,No,,P,,,,,,,,,,,,,,,,,,,,,,,
1,2,Montgomery,No,No,D,2019-02,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
2,2,Montgomery,No,No,D,2019-04,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
3,2,Montgomery,No,No,D,2019-05,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
4,2,Montgomery,No,No,D,2019-06,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,Community,Minutes,,,,,,,,,,2.0,1.0
5,2,Montgomery,No,No,D,2019-07,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
6,2,Montgomery,No,No,D,2019-08,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
7,2,Montgomery,No,No,D,2019-10,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
8,2,Montgomery,No,No,D,2019-11,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
9,2,Montgomery,No,No,D,2019-11,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,,,,,,,,,,,,,,,,,,
10,2,Montgomery,No,No,D,2019-12,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,,,,,,,,,,,,,,,,,,
11,2,Montgomery,No,No,D,2020-03,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,Doctor Appt,2009 days,0.0,4.0,2.0,,,,,,,,,,,,,
12,2,Montgomery,No,No,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,75.0,3.0,,,,,,,,,,,,,,,,,,
13,2,Montgomery,No,No,D,2020-05,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,"Remote Contact with client (phone, email)",Minutes,Call,Client,Eldernet,Eldernet,Coordination,,,,,3.0,1.0
14,2,Montgomery,No,No,D,2020-06,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
15,2,Montgomery,No,No,D,2020-07,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
16,2,Montgomery,No,No,D,2020-08,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
17,2,Montgomery,No,No,D,2020-10,Food Pantry: Food Pantry Poundage,Pounds,75.0,3.0,Doctor Appt,2009 days,0.0,2.0,1.0,,,,,,,,,,,,,
18,2,Montgomery,No,No,D,2020-11,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
19,2,Montgomery,No,No,D,2020-11,Food Pantry: Holiday Baskets,Dollars,25.0,1.0,,,,,,,,,,,,,,,,,,
20,2,Montgomery,No,No,D,2020-11,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,,,,,,,,,,,,,,,,,,
21,2,Montgomery,No,No,D,2020-12,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
22,2,Montgomery,No,No,D,2021-01,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
23,2,Montgomery,No,No,D,2021-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2009 days,0.0,22.0,11.0,,,,,,,,,,,,,
24,2,Montgomery,No,No,D,2021-05,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,Doctor Appt,2009 days,0.0,4.0,2.0,,,,,,,,,,,,,
25,2,Montgomery,No,No,D,2021-06,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
26,3,Montgomery,No,No,P,,,,,,,,,,,,,,,,,,,,,,,
27,5,Montgomery,No,,G,2019-01,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
28,5,Montgomery,No,,G,2019-02,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
29,5,Montgomery,No,,G,2019-03,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
30,5,Montgomery,No,,G,2019-04,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
31,5,Montgomery,No,,G,2019-05,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
32,5,Montgomery,No,,G,2019-06,Food Pantry: Food Pantry Poundage,Pounds,75.0,3.0,,,,,,,,,,,,,,,,,,
33,5,Montgomery,No,,G,2019-07,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,,,,,,,,,,,,,
34,5,Montgomery,No,,G,2019-08,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,,,,,,,,,,,,,
35,5,Montgomery,No,,G,2019-09,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
36,5,Montgomery,No,,G,2019-10,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
37,5,Montgomery,No,,G,2019-11,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,,,,,,,,,,,,,
38,5,Montgomery,No,,G,2019-12,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,Community,Minutes,,,,,,,,,,13.0,1.0
39,5,Montgomery,No,,G,2020-02,Food Pantry: Food Pantry Poundage,Pounds,75.0,3.0,,,,,,,,,,,,,,,,,,
40,5,Montgomery,No,,G,2020-03,Food Pantry: Food Pantry Poundage,Pounds,100.0,4.0,,,,,,,,,,,,,,,,,,
41,5,Montgomery,No,,G,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,"Remote Contact with client (phone, email)",Minutes,Voice Message,Client,ElderNet,ElderNet,Coordination,,,,,1.0,1.0
42,5,Montgomery,No,,G,2020-05,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
43,5,Montgomery,No,,G,2020-06,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,,,,,,,,,,,,,
44,5,Montgomery,No,,G,2020-07,Food Pantry: Food Pantry Poundage,Pounds,75.0,3.0,,,,,,,,,,,,,,,,,,
45,5,Montgomery,No,,G,2020-08,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
46,5,Montgomery,No,,G,2020-09,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,Community,Minutes,In Person,Client,Other Party,Housing,Information,,,,,15.0,1.0
47,5,Montgomery,No,,G,2020-10,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
48,5,Montgomery,No,,G,2020-11,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,,,,,,,,,,,,,
49,5,Montgomery,No,,G,2020-12,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,,,,,,,,,,,,,,,,,,
50,5,Montgomery,No,,G,2021-01,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
51,5,Montgomery,No,,G,2021-03,Food Pantry: Food Pantry Poundage,Pounds,75.0,3.0,,,,,,,,,,,,,,,,,,
52,5,Montgomery,No,,G,2021-04,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
53,5,Montgomery,No,,G,2021-05,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
54,5,Montgomery,No,,G,2021-06,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
55,5,Montgomery,No,,G,2021-07,Food Pantry: Food Pantry Poundage,Pounds,25.0,1.0,,,,,,,,,,,,,,,,,,
56,6,Montgomery,Yes,,,2020-04,Food Pantry: Food Pantry Poundage,Pounds,75.0,3.0,,,,,,,,,,,,,,,,,,
57,7,Montgomery,No,No,P,,,,,,,,,,,,,,,,,,,,,,,
58,8,Montgomery,Yes,Yes,D,2019-11,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,Doctor Appt,2361 days,0.0,12.0,5.0,Home Visit,Minutes,,,,,,,,,,175.0,3.0
59,8,Montgomery,Yes,Yes,D,2019-11,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,Doctor Appt,2361 days,0.0,12.0,5.0,"Remote Contact with client (phone, email)",Minutes,,,,,,,,,,49.0,17.0
60,8,Montgomery,Yes,Yes,D,2019-12,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,Doctor Appt,2361 days,0.0,10.75,4.0,Home Visit,Minutes,,,,,,,,,,230.0,3.0
61,8,Montgomery,Yes,Yes,D,2019-12,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,Doctor Appt,2361 days,0.0,10.75,4.0,Remote Contact w/o client,Minutes,,,,,,,,,,10.0,1.0
62,8,Montgomery,Yes,Yes,D,2019-12,Food Pantry: Holiday Baskets,Pounds,30.0,1.0,Doctor Appt,2361 days,0.0,10.75,4.0,"Remote Contact with client (phone, email)",Minutes,,,,,,,,,,79.0,18.0
63,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Home Visit,Minutes,Call,Client,Other Party,Safety,Support,Safety,Coordination,,,150.0,1.0
64,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Home Visit,Minutes,In Person,Client,ElderNet,Financial,Filing,,,,,30.0,1.0
65,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Internal Discussions,Minutes,Email,ElderNet,ElderNet,Safety,Information,,,,,1.0,1.0
66,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Family,ElderNet,Medical,Coordination,Safety,Information,,,23.0,2.0
67,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Family,ElderNet,Medical,Coordination,,,,,12.0,1.0
68,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Family,ElderNet,Medical,Information,,,,,22.0,3.0
69,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Family,Other Party,Medical,Coordination,,,,,1.0,1.0
70,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Service Provider,ElderNet,ADL,Coordination,,,,,1.0,1.0
71,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Service Provider,ElderNet,Medical,Coordination,,,,,57.0,5.0
72,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Service Provider,ElderNet,Medical,Enrollment,,,,,9.0,1.0
73,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Service Provider,ElderNet,Safety,Information,,,,,3.0,1.0
74,8,Montgomery,Yes,Yes,D,2020-04,Food Pantry: Food Pantry Poundage,Pounds,50.0,2.0,Doctor Appt,2361 days,0.0,2.0,1.0,Remote Contact w/o client,Minutes,Call,Service Provider,Other Party,Medical,Coordination,,,,,18.0,3.0
